features,recall,precision,f1,n_features
"['V3', 'V10', 'V14']",0.8877551020408163,0.058823529411764705,0.11033608116677235,3
"['V3', 'V4', 'V20']",0.8877551020408163,0.023615635179153095,0.046007403490216814,3
"['V3', 'V4', 'V19']",0.8877551020408163,0.024039789997236806,0.046811945117029866,3
"['V12', 'V14', 'V9']",0.8877551020408163,0.0663109756097561,0.12340425531914893,3
"['V3', 'V11', 'V14']",0.8877551020408163,0.05478589420654912,0.10320284697508897,3
"['V3', 'V4', 'V11']",0.8877551020408163,0.031868131868131866,0.06152758132956153,3
"['V3', 'V4', 'V8']",0.8877551020408163,0.02317527970165157,0.045171339563862926,3
"['V1', 'V6', 'V14']",0.8877551020408163,0.046573875802997856,0.08850457782299084,3
"['V3', 'V14', 'V17']",0.8877551020408163,0.05827193569993302,0.10936517913262099,3
"['V1', 'V14', 'V21']",0.8877551020408163,0.04707792207792208,0.08941418293936279,3
"['V1', 'V14', 'V20']",0.8877551020408163,0.0478021978021978,0.09071949947862357,3
"['V1', 'V14', 'V19']",0.8877551020408163,0.04608050847457627,0.08761329305135952,3
"['V2', 'V11', 'V12']",0.8775510204081632,0.02393543000278319,0.04659983744242752,3
"['V2', 'V11', 'V14']",0.8775510204081632,0.05491698595146871,0.10336538461538461,3
"['V2', 'V12', 'V16']",0.8775510204081632,0.02400893355667225,0.04673913043478261,3
"['V2', 'V12', 'V18']",0.8775510204081632,0.020593869731800767,0.040243331773514274,3
"['V2', 'V12', 'V17']",0.8775510204081632,0.021377081779766344,0.04173744236835719,3
"['V3', 'V5', 'V14']",0.8775510204081632,0.047487575924903366,0.09009952854897853,3
"['V2', 'V12', 'V19']",0.8775510204081632,0.02188852125222703,0.04271169605165135,3
"['V3', 'V7', 'V12']",0.8775510204081632,0.03269961977186312,0.06304985337243402,3
"['V3', 'V12', 'V20']",0.8775510204081632,0.030780243378668574,0.059474412171507604,3
"['V3', 'V12', 'V17']",0.8775510204081632,0.027634961439588688,0.05358255451713396,3
"['V3', 'V12', 'V16']",0.8775510204081632,0.033346258239627766,0.06425102726933134,3
"['V3', 'V11', 'V12']",0.8775510204081632,0.03348909657320872,0.06451612903225806,3
"['V3', 'V14', 'V18']",0.8775510204081632,0.05199516324062878,0.09817351598173515,3
"['V3', 'V14', 'V19']",0.8775510204081632,0.0509478672985782,0.09630459126539753,3
"['V3', 'V14', 'V20']",0.8775510204081632,0.0508274231678487,0.09608938547486033,3
"['V3', 'V14', 'V21']",0.8775510204081632,0.05140466228332337,0.09712027103331451,3
"['V3', 'V9', 'V14']",0.8775510204081632,0.059846903270702856,0.11205211726384365,3
"['V3', 'V9', 'V12']",0.8775510204081632,0.036989247311827955,0.0709863805200165,3
"['V3', 'V8', 'V12']",0.8775510204081632,0.02821522309711286,0.05467260012714558,3
"['V3', 'V6', 'V14']",0.8775510204081632,0.04997094712376525,0.09455744914788346,3
"['V2', 'V12', 'V20']",0.8775510204081632,0.022691292875989446,0.044238683127572016,3
